"职位名称","薪资区间","经验要求","学历要求","岗位职责任职要求","工作地址","公司名称","公司规模"
"职业发展咨询师","10k-20k","经验不限 /","本科及以上 /","我们需要你： 与潜在客户通过电话、微信、面询等多种方式沟通，了解和挖掘客户职业发展需求； 通过自身所具备的投行、咨询、快消、互联网、房地产等热点行业知识及职业发展规划技能，帮助客户做好精准的职业定位； 针对客户在求职和职业发展中需求推荐合适课程； 充分了解学员潜在的求职困惑，耐心解答用户对产品的疑问通过与学员的沟通及简历； 维护与签约客户、潜在客户的长期良好关系。   我们期待你： 本科及以上学历，有金融、快消、咨询、会计、互联网行业工作经历或商科学习背景者优先； 超强的学习能力以及解决问题的能力，擅于沟通； 对职前教育领域持续关注并且愿意与公司一起奋斗的小伙伴优先； 打LOL/DOTA或者玩狼人杀/杀人游戏的小伙伴优先 (因为这样的你，我们知道一定是逻辑缜密、善于沟通表达的选手)。   我们提供： 极具竞争力的薪酬结构 （无责底薪+高提成+奖金+优厚员工福利） 五险一金，正常双休 餐补，加班补助，交通补贴8-15天带薪年假 ，带薪病假 丰厚的月度、季度、年度奖金，完善的晋升体系节假日福利，季度团建，年度旅游 完善的培训体系帮助员工和公司共同成长（新员工3-5天带薪集训） 员工免费学习公司课程（行业知识、职业规划、求职面试）   晋升空间: 提供通畅晋升渠道并提前给予晋升后岗位技能培训等！ 上海office高速发展，团队潜力和晋升空间巨大！ 你可以从咨询顾问-高级咨询顾问-咨询主管-咨询经理！","上海 -                    杨浦区                                            - 黄兴路2218号合生国际广场办公楼25F01/08                                                            查看地图","UniCareer职优你                                                                        拉勾认证企业","150-500人                规模"
"应用软件工程师（数据融合...","15k-30k","经验1-3年 /","本科及以上 /","工作职责:1.负责障碍物融合模块，实现不同种类传感器（视觉、激光雷达、毫米波、超声波）感知数据的接入、 目标跟踪、 数据关联以及障碍物的融合输出）；2.开发针对数据融合的仿真测试工具，编写相关操作文档；3.支持障碍物融合模块在不同客户项目中的应用；                                                       任职资格:1.熟练掌握C/C++/Matlab等常用编程语言,有良好的代码风格及编程能力；2.熟悉Linux/ROS环境下的工具开发及调试；3.熟悉目标跟踪、数据关联等功能的常用算法；4.熟悉视觉/激光雷达/毫米波/超声波等其中一种或多种传感器的特性；5.具有仿真、系统实现和单元测试的能力；6.有良好的沟通技能，解决实际问题的能力；7.热爱汽车、自动驾驶和人工智能；加分项1.了解CAN、以太网总线相关知识，熟悉车载CAN、以太网总线架构；2.熟悉ISO26262标准；3.熟悉MISRA C/C++代码规范；","上海 -                    嘉定区                                            - 安拓路56弄汽车创新港15幢1单元                                                            查看地图","地平线机器人                                                                        拉勾认证企业","500-2000人                规模"
"财务出纳（兼行政）","4k-6k","经验1-3年 /","学历不限 /","岗位职责：（出纳）1、登记现金进出账和银行存款日记账；2、现金的保管和使用、汇报；3、款项的支付、工资发放、报销单据审核；4、根据财务制度要求进行各项费用的报销审核工作；5、审核公司合同报价；（行政）协助公司日常行政事务的处理；协助部门开展公司工商、税务、银行等业务办理；组织、实施公司员工活动；完成领导交办的其他事宜； 任职条件：1、专科及以上学历，财务会计相关专业，有从业资格证；2、1-3年相关工作经验；3、了解会计准则以及相关法律法规，熟悉银行结算业务；4、具备良好的沟通能力，善于处理日常事务，有良好的独立工作能力；5、工作细致认真、责任心强、为人正直，有极强的职业道德意识，严谨的工作纪律习惯；6、具备较好的书面和口头表达能力； 工作地点：上海市徐汇区肇嘉浜路366号（嘉善路地铁站步行即达） 福利待遇：带薪福利假：年休假、婚假、产假、丧假等；其他福利：年终奖、全勤奖、节日福利、带薪旅游、专业培训、不定期聚餐； 公司介绍：上海鸿蕴商贸有限公司，成立于2009年，目前主要经营全国范围内医疗器械（骨科）高值耗材的配送管理服务及相关贸易。 ","上海 -                    徐汇区 -                    肇嘉浜路                                            - 肇嘉浜路366号                                                            查看地图","首格网络                                                                        拉勾认证企业","http://www.firstgrid.cn                公司主页"
"资深品牌视觉设计师","25k-50k","经验不限 /","本科及以上 /","职位职责：1、负责上海多款产品的品牌、活动设计把控与团队管理；2、规范各产品品牌设计，把控设计调性，协助市场完成品牌推广。职位要求：1、设计专业院校毕业，5年以上设计工作经验，有管理经验；2、精通品牌设计，能独立完成品牌VI设计。有4A或创意设计工作经验；3、有完备的品牌、活动设计作品（真实案例优先）；4、有独到的设计思路，和品牌概念，能宏观把控设计风格；5、有海外工作、学习经验者优先。","上海 -                    黄浦区                                            - 上海市黄浦区局门路436号8号桥二期6号楼                                                            查看地图","字节跳动                                                                        拉勾认证企业","http://www.bytedance.com                公司主页"
"大客户代表/高端销售","6k-8k","经验不限 /","本科及以上 /","你是否想在一家蓬勃发展的企业；你是否想在一家工作环境简单、氛围融洽的企业；你是否想在一家公平晋升的平台；如果想，来丽兹看看……【薪资待遇】无责任底薪6000元/月（211/985无责底薪7000）+高额提成（5%—68%）+精英留任奖+年终绩效奖+带薪年假【岗位要求】1.21-35周岁，统招二本及以上学历；2.具有良好的亲和力、理解能力、逻辑协调和沟通能力；3.积极乐观开朗，为人诚实守信，工作积极主动，注重团队合作；4.愿意服务于高端客户，并且通过与高端客户面对面沟通有意愿提升自己的综合能力；5.愿意参加公益活动，具有爱心和感恩之心；【岗位职责】1.新员工入职，熟知高端楼盘与产品信息；（北京、上海、美国、英国、澳大利亚、加拿大豪宅项目；金融产品）；2.详细了解客户的核心诉求，精准匹配合适的产品信息,提供豪宅市场报告、价值分析报告等；3.与客户面对面沟通，通过Ipad、豪宅APP、楼盘字典等营销工具介绍产品信息，带客户实体看房，通过磋商、谈判，完成成交。【晋升体制】★营销专家：豪宅顾问→资深豪宅顾问→高级客户经理→资深客户经理★管理岗位晋升：店经理→店面总监→大区总监【系统培训】1.师徒制：一对一的师徒辅导2.针对豪宅顾问——房产知识、营销知识、交易知识、法律法规、客户维护、目标管理、谈判技巧、金融知识、心理学……3.针对销售精英——百万尖子班4.针对管理岗位——黄埔培训班、虎将训练营 【企业的特点】高智商：接触的是净资产在3000万以上的各行各业的精英人士，身边的伙伴都是高学历的优秀人才；高效率：简单的人际关系，高效的客户服务，高效的团队合作高资本：做标的在2000万-3个亿之间的项目高收益：年薪在30-60万之间，优秀者可以年薪过百万高晋升：以能力为本，每半年一次的公开透明的晋升机会【公司介绍】首先，丽兹行是国内唯一 一家可以实现全司内部联动、京沪联动、国内外联动的企业，客户只需找到一位豪宅顾问就可以看遍丽兹行在做所有豪宅；其次，我们致力于为城市领袖提供安全、高效、愉悦的顾客体验，豪宅交易经验丰富，高端客户认可度非常高；第三，拥有丰富的营销工具，实现科技化的营销，拥有landzso系统，丽兹豪宅网，手机APP、720度环景看房，丽兹豪宅汇，楼盘字典等工具，让客户看房更加直观和高效。第四，对接高净值客户，与高学历人才共事。【其他福利】①五险一金：养老、失业、医疗、工伤、生育、商业保险；住房公积金；享受免费健康检查；②节日福利：法定节假日、10天春节假、带薪年假.....③带薪培训：一对一师徒辅导制；业务训（房产、金融、心理学、美学等）、管理者培训（中欧、北大光华等）、国内外交流沙龙...④多重奖励：新人奖、品质奖、价值范、支持个人及团队、职能嘉奖、个人破纪录奖、个人/父母年度海内外旅游（泰山、青岛、杭州、海南、云南、韩国、马尔代夫...等你来！）⑤逢节必过：圣诞节、儿童节、中秋节、感恩节...节日不停，happy不停；花式活动：爱心义卖、公益活动、舞蹈大赛、运动会、演讲大赛、文化沙龙、轰趴、生party...⑥还有：企业内部通话免费；不定期零食、甜汤、水果等；最简单坦诚开心的工作环境……","上海 -                    浦东新区 -                    陆家嘴                                            - 就近分配                                                            查看地图","丽兹行                                                                        拉勾认证企业","http://www.lizihang.com                公司主页"
"销售内勤","5k-10k","经验1年以下 /","大专及以上 /","1.做好日常档案整理工作2.配合主管做好销售、访客登记等工作3.日常微信以及网站的运营工作入职要求：1.年龄18-32周岁（上海人优先），应届生也可2.有微商推广经验者优先3.性格活泼开朗、大方，脑子灵活本公司是一家互联网平台，主营专科、本科及研究生硕士的学历提升，公司12年成立，现在是一支年轻的90后团队，我们欢迎你的加入","上海 -                    静安区                                            - 恒丰路600号机电大厦5楼509，510                                                            查看地图","吉杉文化                                                                        拉勾未认证企业","http://www.lagou.com/gong...                公司主页"
"JavaScript/WEB前端开发","10k-20k","经验不限 /","本科及以上 /","我们没有对学校、工作年限的硬性要求。你的薪资和级别由实际技术能力决定。如果你对我们公布的职位和技术栈感兴趣，并且有一些对应的开发/项目经验，欢迎投递简历。我们希望你：    计算机相关专业    熟悉javascript开发，以及ReactJS相关技术栈，例如redux    了解一些后端技术比如Java / NodeJS / 数据库等等    对技术和产品有热情    快速学习    独立解决问题    团队协作    加分项：具有React Native + iOS项目开发经验你将会：    负责ReactNative移动端开发，web前端开发    如果有意愿，全面接触和参与整个系统前后端的开发薪资和待遇入职薪资按照学历、工作经验以及对应的岗位基础薪资计算，到手薪资10K ~ 20K五险一金弹性工作制，不打卡，不强制加班，不以“自愿加班”名义搞996公司定期腐败、团建、旅游期权公司和团队关键字创业公司，已经盈利，正在快速发展好未来教育集团投资A轮，估值过亿K12教育领域、思科、微软技术团队弹性工作制，不打卡，不强制加班有竞争力的薪水 期权为什么选择我们我们是快速发展的初创企业，团队年轻而有活力。技术团队成员都毕业于985院校（上海交大、南京大学、哈工大等），并且都在微软、思科等企业有多年的经验。成立三年，已经盈利。好未来教育集团投资A轮，估值过亿。现在开始快速扩张规模，发展团队。我们非常重视在这个阶段选择加入的你，希望你能和我们一起成长，全面收获。技术进步、职业发展、薪资晋升，一个都不能少。我们提供有竞争力的薪水 期权。险金齐全。我们研究和使用最新最好玩的技术工具。包括：AngularJS（正在向2移植）、React技术栈（Redux等）、iOS、Android（RxJava，Retrofit）、Scala / Java (Play)、Hadoop后台、基于Docker定制的自动化提交测试部署、gerrit git 完善的代码审核流程，等等。欢迎你来把这个列表变得更有意思。我们做K12教育，我们不做概念，只踏实地做对用户和行业真正有用的事情。我们定期和一线教师、教育专家研磨产品和策略，让用户来评价我们是否在正确的道路上。我们没有不懂技术不懂行业的产品经理，人人都是产品经理。我们人数不多，但研发流程完善，产品研讨、敏捷开发、mentor、code review、测试、迭代，等等。欢迎你来吐槽","上海 -                    徐汇区 -                    虹梅路                                            - 钦江路333号41号楼2层210室                                                            查看地图","那镁克                                                                        拉勾认证企业","http://www.namek.com                公司主页"
"资深招聘专员-上海静安","10k-15k","经验1-3年 /","本科及以上 /","工作职责：1、根据上海营销中心业务发展情况，协助制定招聘计划和开展招聘；2、维护现有招聘渠道，拓展和创新新的招聘方法和渠道；3、运营并完善人才库，达成招聘目标，提升招聘效率； 4、改进招聘流程和平台，提升效能，完成面试官培养等；5、参与有赞内部其他模块的HR项目。职位要求:1、本科及以上学历；2、2年及以上互联网行业相关招聘工作经验，市场销售岗位招聘经验丰富者优先；3、目标驱动，能够主动开展工作，对结果负责；4、亲和力强，聪明皮实有要性。","上海 -                    静安区                                            - 沪太路1111号链尚国际大楼12楼                                                            查看地图","有赞                                                                        拉勾认证企业","http://youzan.com/                公司主页"
"大客户销售经理","8K-16K","经验1-3年 /","本科及以上 /","岗位职责： 1、负责机构客户的开拓、维护及服务工作； 2、开发目标市场（主要是针对上海量化基金市场），提出新品开发建议，维护巩固客户关系 ； 3、在销售过程中为客户提供金融软件产品使用的相关培训与服务，收集和处理客户意见，与客户建立长期良好的关系； 4、组织并邀约客户参与论坛，股评沙龙等营销活动，提升客户转化率； 5、通过持续跟进与服务，达成销售目标； 6、完成领导交办的其它市场销售任务。任职要求： 1、大专及以上学历，2年以上金融行业销售工作经验； 2、具有新客户、新产品的开拓能力。 3、性格开朗，学习能力强，主动性强，有上进心； 4、热爱金融行业，有志于从事金融相关营销工作。","上海 -                    静安区 -                                                                - 上海市静安区汶水路299弄31号401- 402室                                                            查看地图","搜股                                                                        拉勾认证企业","50-150人                规模"
"JNE旗舰店店长","8k-15k","经验3-5年 /","大专及以上 /","岗位要求：1. 学历：大学专科以上；2. 零售服务行业3年以上经验，1年以上主管店长管理经验；有线上电商运营经验是极大加分项；3. 为人诚实可靠；认真负责，重视细节；4. 性格大方开朗，积极热情，具备良好的沟通协调能力；5. 具备基础财务知识，可以有效进行财务沟通和报表的管理，有效进行库存和零售商品管理；6. 热爱旅行，有审美品味，对文艺创意生活类产品具有感知和热爱。工作职责:1. JNE是穷游旗下的旅行生活美学品牌，上海旗舰店则是综合文艺创意零售空间，通过实体店的形式，为旅行者提供全面可靠的旅行装备和旅行咨询服务；2. 本岗位作为执行店长，全面负责上海旗舰店的日常运营；保证客户得到良好的综合服务和体验；特别是与新零售相关的线上线下业务打通；3. 负责JNE品牌原创商品的日常售卖，包括客户服务，订单处理，商品和库存管理等；4. 与商场业主的业务沟通和配合;5. 参与策划主题展览，周末分享会沙龙，配合线上线下的推广;6. 实习生和店员的培训以及管理。","上海 -                    黄浦区 -                    新天地                                            - 上海新天地                                                            查看地图","穷游网                                                                        拉勾认证企业","http://www.qyer.com                公司主页"
"图形算法专家","25k-35k","经验3-5年 /","本科及以上 /","职位描述：岗位职责：应用先进的统计建模，机器学习，深度学习方法建立数据模型解决实际图像问题， 如图像检测，物体/人脸识别，图像分割， 图像生成，图像/视频内容理解等岗位要求：1、计算机和数学相关专业，硕士及以上学历；2、熟悉机器学习，深度学习常用算法；有图像类相关人工智能项目或科研经验；3、具有良好的工程能力，熟练掌握C/C++，Python，Matlab等至少一种语言；4、熟悉Caffe/Tensorflow/Torch/Mxnet等至少一种主流框架；5、具有模型结构设计，训练调优和压缩优化经验；6、思维活跃，能快速学习新知识，对算法研发和优化富有热情","上海 -                    闵行区 -                    莘庄                                            - 沪闵路4200号如果创意产业园E栋501                                                            查看地图","蜂雀网络                                                                        拉勾认证企业","http://www.fontre.com                公司主页"
".Net 开发工程师-中级","12k-20k","经验3-5年 /","大专及以上 /","岗位职责：1．根据项目需求，完成项目的设计、编码实现；2．负责项目代码的评审，保证项目代码码的可读、规范、健状、可维护、安全性；3．负责所开发项目的单元测试、集成测试；4．负责相关技术文档的编写；5．负责所开发项目的后期维护、Bug修复；任职要求：1．信息技术相关专业本科或以上学历，或非信息技术相关专业但具备知名IT培训机构相关培训经历；2．深入了解.Net技术体系，具备根据项目需要选用不同技术组合的能力；3．精通.Net 框架类库，了解.Net的底层原理，对GC机制有较为深入的了解；4．熟悉.Net 并行/异步任务和多线程机制，具备高并发程序的开发能力；5．对JS有深入的了解，能熟练使用常用的JS开发框架；6．熟悉SQL语法，能熟练使用SQL语句进行复杂的查询统计；7．熟悉缓存、消息队列、文档数据库等相关技术，了解不同技术的区别和适用场景；8．思维清晰，具备流畅的表达沟通能力，具备自我学习提高的能力,踏实肯干，有一定的工作抗压能力；加分项：1.具备.Net Core开发使用经验优先；2.具备大数据开发应用经验优先；3.具备机器学习、人工智能开发应用经验优先；","上海 -                    青浦区 -                    重固                                            - 重固镇北青公路6598弄意邦国际写字楼10楼信息技术部                                                            查看地图","申通快递                                                                        拉勾认证企业","http://www.sto.cn/                公司主页"
"IOS移动开发工程师（初中级）","13k-16k","经验1-3年 /","本科及以上 /","岗位要求：1、作为开发人员在APP STORE上有成熟上线产品的开发，迭代开发经验；2、熟悉APP发布流程；3、精通掌握Objective-C 和Swift语言；4、熟悉C/C++语言，熟悉Cocoa Touch框架和iOS SDK底层实现机制、熟悉对混合APP开发，热加载有一定了解和实践。福利：入职即购买社保公积金，周末双休，每年调薪机会，带薪年假（每年不低于8天），年度体检，年度旅游等工作地点：上海黄浦区南京东路300号恒基名人商务楼20楼","上海 -                    黄浦区 -                    南京东路                                            - 南京东路300号恒基名人商务楼20楼                                                            查看地图","Symbio-Freeborders                                                                        拉勾认证企业","http://www.symbio.com                公司主页"
"BD经理","20k-30k","经验3-5年 /","学历不限 /","BD经理（北京、上海）任职要求： 1、根据公司整体发展战略，研究合作模式、挖掘各类资源，进行异业资源置换形式的市场合作； 2、规划和拓展合作伙伴及渠道，完成商务合作的沟通、谈判，制定合作方案，跟进整个合作过程，对结果负责； 3、对合作数据进行跟进及优化，根据数据调整推广、运营策略，并对产品改进提出合理化建议； 4、及时了解分析市场走势及竞争对手的最新动态，对市场行为进行综合分析，做分析报告； 5、测算投入产出比，提出合理化资源合作建议；  任职要求： 1、3年以上BD工作经验，有丰富的对外合作、项目洽谈和项目推进经验，能够独立操作谈判项目； 2、具备较强的营销策划、市场拓展、渠道建设、商务谈判技巧及实战经验，能够独立撰写合作项目策划方案；  3、沟通能力、执行力强，了解商务合作的本质，能高效贯穿并推动整个方案的落实执行； 4、思维活跃，善于学习，具备独立工作及解决问题的能力； 5、有互联网金融行业市场开发经验及客户渠道者优先。","上海 -                    杨浦区 -                    江湾                                            - 淞沪路619号中航天盛大厦1701室                                                            查看地图","GeexFinance                                                                        拉勾认证企业","150-500人                规模"
"职业发展顾问","10k-20k","经验不限 /","本科及以上 /","职位诱惑：职场大牛,年轻化团队。职位描述：工作职责描述：1、联系对象是市场部提供的有刚性需求的潜在客户（留学生为主）2、帮助潜在客户（留学生为主）解答求职方面的问题，并提供职业发展辅导与规划的服务3、向潜在客户（留学生为主）介绍公司求职服务类产品，并销售产品岗位择才要求：1、优秀的全日制本科以上应届或者往届毕业生（优秀的概念由你自己定义），性格外向，懂得沟通的艺术，对待工作有激情2、强大的自我驱动力，做事不用推不用催3、对于帮助别人做职业规划具有浓厚的兴趣4、可以Hold住短时间，大规模的学习过程，可以接受加班职位待遇1.薪资结构：固定薪资+提成+餐补；2.福利待遇：过节&生日福利；加班餐补&车费报销；1年2次调薪机会；年度豪华健康体检；月度团建基金；3.试用期固定薪资100%发放；4.最专业化的培训，跳出职业蛙之后，你将充分了解自己，不再迷茫。工作地址上海 - 长宁区 - 延安西路889号太平洋企业中心22楼","上海 -                    长宁区 -                    镇宁路                                            - 延安西路889号太平洋企业中心22楼                                                            查看地图","CareerFrog职业蛙                                                                        拉勾认证企业","150-500人                规模"
"课程咨询顾问/销售顾问","10k-20k","经验不限 /","本科及以上 /","我们需要你： 与潜在客户通过电话、微信、面询等多种方式沟通，了解和挖掘客户职业发展需求； 通过自身所具备的投行、咨询、快消、互联网、房地产等热点行业知识及职业发展规划技能，帮助客户做好精准的职业定位； 针对客户在求职和职业发展中需求推荐合适课程； 充分了解学员潜在的求职困惑，耐心解答用户对产品的疑问通过与学员的沟通及简历； 维护与签约客户、潜在客户的长期良好关系。  我们期待你： 本科及以上学历，有金融、快消、咨询、会计、互联网行业工作经历或商科学习背景者优先； 超强的学习能力以及解决问题的能力，擅于沟通； 对职前教育领域持续关注并且愿意与公司一起奋斗的小伙伴优先；   我们提供： 完善的培训体系（带薪集训+行业知识+职业规划专业知识）极具优势的双向发展通道（专业化方向的职业发展咨询师/合伙人性质的管理层）极具竞争力的薪酬 （无责底薪+高提成+补贴） 丰厚的月度、季度、年度现金奖金，出国游价值万元的课程免费学习获得帮助海归留学生成功加入名企的成就感优厚的员工福利（五险一金+8-15天带薪年假 +带薪病假+节假日福利+季度团建） 晋升空间:提供通畅晋升渠道并提前给予晋升后岗位技能培训等！ 上海office高速发展，团队潜力和晋升空间巨大！  你可以从咨询顾问-高级咨询顾问-职业规划专家！","上海 -                    杨浦区 -                    四平路                                            - 黄兴路2218号合生国际广场办公楼25F01/08                                                            查看地图","UniCareer职优你                                                                        拉勾认证企业","150-500人                规模"
"【2019校招】业务拓展专员（...","7k-14k","经验应届毕业生 /","本科及以上 /","工作内容：1、协助Shopee在中国商家群体中的品牌建设；2、通过线上线下渠道发掘新商家，促使新商家入驻Shopee平台 ；3、协助商家入驻，协助商家孵化，维护商家关系 。工作要求：1、本科及以上学历，经济、管理、语言等相关专业 ；2、对跨境电商行业充满热情，致力于在跨境电商行业长期发展；3、中英文流利，有较强的逻辑思维及数据分析能力，结果导向，较强沟通能力。工作地点：上海可面试地点：北京、西安、武汉、上海、广州、深圳，申请时请在 校招站点 选择就近城市","上海 -                    徐汇区                                            - 新漕河泾国际商务中心                                                            查看地图","Shopee                                                                        拉勾认证企业","http://shopee.cn/                公司主页"
"自如服务管家-（90后团队，...","8k-12k","经验不限 /","本科及以上 /","自如是谁？出生于2011年10月，已开发多条产品线：自如友家、自如整租、自如寓、自如驿、自如民宿、业主直租、生活服务...足迹遍布56座城市，目前拥有85万自如客。但这些远远不能阻挡我们前进脚步，我们将会开拓至少15个国家，拥有至少1000万的客户。你能得到什么：1、广阔成长空间：每月内部竞聘，最快4月升任业务经理、1年升任业务总监；2、奉上各类技能装备：入职即送师傅，师徒制、轮岗制、通用力课程、专业力课程、领导力课程……就怕你成长速度跟不上自如发展速度；3、强大阵容的小伙伴：这里全员统招本科以上学历，有专八英语团队，有留学海龟、研究僧，倍多多才多艺全能手，我们有故事，你有简历吗？4、超人性化福利：六险一金、餐补、租房内部折扣价、带薪年假、免费体检、每周水果日、不止两三次的国内外旅游机会，还有每逢节假日就送的福利：比如感恩节霸道总裁包场请你看电影，光棍节给你送上一份大大的狗粮……你需要做什么：为自如客匹配最合适的自如房源，提供超出预期的客户体验，打造O2O青年居住社区，为推动城市文明进程贡献一份力量！（看到这句是不是吓坏了，没看错！就像出行能想到滴滴，在租住生活方面，我们致力于改变青年人的租住生活！）入职0-3个月（试用期），担任服务管家（底薪3k+绩效+提成，月均6-10k）销售部分：1、通过自如app、官网及自主开发的渠道获取客户资源；2、跟客户线上线下沟通、推荐自如产品、APP签约、续约；服务部分：1、签约后的服务：处理租务工单、结算生活费用、租约变更；2、打造自如社区：成为自如客之间的重要纽带，要组织自如客活动，要维系社区关系。服务管家任职3个月后，可根据能力及意向，担任收房管家（底薪3-5k+提成，月均10k以上）1、通过自如网、链家店面等中介及其他多元化渠道获取房源；2、与业主洽谈房屋代理业务，实勘房屋并议价，进行合同的谈判与签约；3、产品化：对房源进行标准化的装修配置，制定装修配置方案，打造高品质租房产品；4、区域库存管理：管理所辖区域房源库存，维护房屋品质，维持库存房源收出平衡。公司名称：上海自如资产管理有限公司公司官网：www.ziroom.com下载APP：自如公司地址：上海市徐汇区南宁路970号徐汇万科中心T1B座501室（总部）（可乘坐地铁1、3号线：至上海南站4号出口）徐汇、静安、长宁、普陀、浦东、闵行、杨浦、松江、宝山、嘉定均有工作站，可就近分配。","上海 -                    徐汇区 -                    漕河泾                                            - 南宁路970号徐汇万科中心                                                            查看地图","自如网                                                                        拉勾认证企业","http://www.ziroom.com                公司主页"
"设计专家","45k-80k","经验不限 /","本科及以上 /","职位职责：1、负责上海多款产品的设计把控和团队管理工作；2、包含用户体验设计、品牌视觉识别设计、市场运营设计；3、协调各设计人力，协作成长，为产品成长与爆发做有力支持。职位要求：1、设计专业院校毕业，5～8年设计工作经验，有管理10人以上团队的经验；2、精通产品设计、品牌设计、视觉设计，并有完备设计作品；3、有独到的产品设计思路，和品牌概念，能宏观把控设计风格；4、有海外工作、学习经验者优先。","上海 -                    黄浦区                                            - 上海市黄浦区局门路436号8号桥二期6号楼                                                            查看地图","字节跳动                                                                        拉勾认证企业","http://www.bytedance.com                公司主页"
"涉外销售代表","7k-13k","经验不限 /","本科及以上 /","【岗位要求】1.21-35周岁，统招二本及以上学历；2.具有良好的亲和力、理解能力、逻辑协调和沟通能力；3.积极乐观开朗，为人诚实守信，工作积极主动，注重团队合作；4.愿意服务于高端客户，并且通过与高端客户面对面沟通有意愿提升自己的综合能力；5.愿意参加公益活动，具有爱心和感恩之心；【岗位职责】1.新员工入职，熟知高端楼盘与产品信息；（北京、上海、美国、英国、澳大利亚、加拿大豪宅项目；金融产品）；2.详细了解客户的核心诉求，精准匹配合适的产品信息,提供豪宅市场报告、价值分析报告等；3.与客户面对面沟通，通过Ipad、豪宅APP、楼盘字典等营销工具介绍产品信息，带客户实体看房，通过磋商、谈判，完成成交。【薪资待遇】无责任底薪7000元/月+高额提成（5%—68%）+精英留任奖+年终绩效奖+带薪年假【其他福利】六险一金：养老、失业、医疗、工伤、生育、商业保险；住房公积金；享受免费健康检查；节日福利：法定节假日、10天春节假、带薪年假.....带薪培训：一对一师徒辅导制；业务训（房产、金融、心理学、美学等）、管理者培训（中欧、北大光华等）、国内外交流沙龙...多重奖励：新人奖、品质奖、价值范、支持个人及团队、职能嘉奖、个人破纪录奖、个人/父母年度海内外旅游（泰山、青岛、杭州、海南、云南、韩国、马尔代夫...等你来！）逢节必过：圣诞节、儿童节、中秋节、感恩节...节日不停，happy不停；花式活动：爱心义卖、公益活动、舞蹈大赛、运动会、演讲大赛、文化沙龙、轰趴、生日party...还有：企业内部通话免费；不定期零食、甜汤、水果等；最简单坦诚开心的工作环境...","上海 -                    浦东新区 -                    洋泾                                            - 就近分配                                                            查看地图","丽兹行                                                                        拉勾认证企业","http://www.lizihang.com                公司主页"
"高级市场经理","20k-35k","经验5-10年 /","本科及以上 /","工作职责：1. 负责上海及华东地区活动的主要对接，包括和相关部门的配合、管理供应商、对接活动主办方等；2. 制定线下活动的相应营销规划、包括前期筹备、组织、后期执行、复盘等工作，对项目各节点产出工作进行把控，并对工作产出质量负责；3. 根据活动类型协调公司产品、技术等相关部门资源，把控项目中各个工作内容的产出节点；4. 了解公司产品、技术属性及特点，并制定相应的包装推广计划，制作活动现场产品视频等推广物料；5. 制定项目推进方案，按时间节点配合供应商完成活动各类会场规划（主题、议程、主会场规划、展区规划、配套设计）等物料产出；6. 根据活动VIP嘉宾属性，协调人员进行前期统筹VIP名单以及邀请工作，并制定配套现场接待、参会、活动现场管理计划。任职资格：1. 具备8-10年市场营销及线下大型活动策划工作经验；2. 逻辑思维强，写作能力优秀；关注细节，有责任感；3. 学习能力强，了解B2B市场营销模式（高科技行业者优先）；4. 英文流利，有留学或外企工作背景优先；5. 善于跨部门合作，具备良好的协调能力、沟通能力、创新能力、合作能力与抗压能力；6. 请随简历附上你认为优秀的个人策划方案及最得意的文字作品，或其它任何能使你脱颖而出的材料。","上海 -                    徐汇区                                            - 上海市徐汇区龙腾大道2835号百汇园                                                            查看地图","商汤科技                                                                        拉勾认证企业","http://sensetime.com                公司主页"
"B2B大客户销售经理","10K-16K","经验1-3年 /","本科及以上 /","岗位职责： 1、负责所在区域量化金融数据库的销售（主要的行业为私募 公募 证券等）； 维护客户高层领导的关系，挖掘客户的业务需求，提升解决方案的业务价值； 2、开发目标市场（主要是针对上海量化基金市场），提出新品开发建议，维护巩固客户关系 ； 3、收集金融行业有关项目信息和竞争对手信息，有行业灵敏性； 4、负责组织、管理项目投标、合同谈判、资金回笼及售后服务工作。   任职资格： 1、本科及以上学历，2年以上金融行业工作经验，其中1年以上量化基金市场拓展经验优先 2、有强烈的竞争意识，勇于挑战自我，有良好的职业道德及团队合作精神； 3、为人积极乐观、工作责任心强，能承受较大工作压力；         4、喜欢金融，并愿意在金融科技行业长期发展。","上海 -                    静安区 -                                                                - 汶水路299弄31号楼401-402室                                                            查看地图","搜股                                                                        拉勾认证企业","50-150人                规模"
